NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07318428,glaucoma,Glaucoma,C0017601,Glaucoma
NCT06642948,aromatase inhibitors,Aromatase Inhibitors,C0593802,Aromatase Inhibitors
NCT06374225,pathologic processes,Pathologic Processes,C0030660,Pathologic Processes
NCT07158203,colorectal cancer control and prevention,colorectal cancer prevention,C0281190,Prevention of Colorectal Cancer
NCT05836064,colonic adenoma,Colonic Adenoma,C4551463,Colon adenoma
NCT04859634,diagnostic screening programs,Diagnostic Screening Programs,C4704706,Diagnostic Screening Programs
NCT05629793,cognitive dysfunction,Cognitive Dysfunction,C0338656,Impaired cognition
NCT05006092,cade,Cade,C0022432,juniper tar
NCT06699433,acute appendicitis,Acute Appendicitis,C0003615,Appendicitis
NCT07205263,"intracranial hemorrhage, spontaneous",Spontaneous intracranial hemorrhage,C4545430,Spontaneous intracranial hemorrhage
NCT05476978,autoimmune pancreatitis,Autoimmune Pancreatitis,C2609129,Autoimmune Pancreatitis
NCT06902675,emergency department visit,emergency department visit,C0586082,Emergency Room Visits
NCT06086951,intellectual disability,Intellectual Disability,C3714756,Intellectual Disability
NCT06412900,urosepsis,urosepsis,C0149801,Sepsis due to urinary tract infection
NCT05631015,low grade intraepithelial neoplasia,Low Grade Intraepithelial Neoplasia,C0334058,Mild epithelial dysplasia
NCT06317181,liver diseases,Liver diseases,C0023895,Liver diseases
NCT05987670,heart murmurs,Heart Murmurs,C0018808,Heart murmur
NCT06163781,"emergency service, hospital","Emergency Service, Hospital",C0562508,Accident and Emergency department
NCT07018973,morphological analysis and classification,Morphological Procedure,C5983697,Morphological Procedure
NCT04879563,survivorship,Survivorship,C0038952,Continuance of life
NCT05515679,"dementia, mixed","Dementia, Mixed",C3532942,Mixed Dementias
NCT06334796,migraine,Migraine,C0149931,Migraine Disorders
NCT06216405,colon adenocarcinoma,COLON ADENOCARCINOMA,C0338106,Adenocarcinoma of colon
NCT07162753,class iii malocclusion,Class III malocclusion,C0399526,Class III malocclusion
NCT06662708,prostate cancer stage,prostate cancer stage,C0280280,"stage, prostate cancer"
NCT06258798,tooth loss,Tooth Loss,C0080233,Tooth Loss
NCT07066046,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT07317661,cataract surgery experience,Did you ever have cataract surgery,C3174880,Did you ever have cataract surgery
NCT06741332,thrombectomy,Thrombectomy,C0162578,Thrombectomy
NCT07273513,post pci,post MI,C0856742,post mi
NCT06450938,apical periodontitis,apical periodontitis,C0031030,Periapical Periodontitis
NCT06183970,dysmetria,Dysmetria,C0234162,Cerebellar Dysmetria
NCT04723758,colorectal adenomatous polyp,Colorectal Adenomatous Polyp,C3272805,Colorectal Adenomatous Polyp
NCT05167058,premature supraventricular beat,Premature Supraventricular Beat,C0033036,Atrial Premature Complexes
NCT07318922,erythroleukoplakia of mouth,Erythroleukoplakia of mouth,C3697585,Erythroleukoplakia of internal part of mouth
NCT04313946,flu symptom,flu symptom,C0948873,Flu symptoms
NCT06325514,leukoplakia,Leukoplakia,C0023531,Leukoplakia
NCT05080088,colonic adenocarcinoma,Colonic adenocarcinoma,C0338106,Adenocarcinoma of colon
NCT06615609,hyperlipidemia,Hyperlipidemia,C0020473,Hyperlipidemia
NCT04620668,anxiety,Anxiety,C0003467,Anxiety
NCT07338643,diarrhea,diarrhea,C0011991,Diarrhea
NCT04332055,"osteoarthritis, knee","Osteoarthritis, Knee",C0409959,"Osteoarthritis, Knee"
NCT06213896,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04958577,mental health conditions,Mental health issue,C4061796,Mental health issue
NCT05681949,intrahepatic cholangiocarcinoma,Intrahepatic Cholangiocarcinoma,C0345905,Intrahepatic Cholangiocarcinoma
NCT06874647,chest x-ray for clinical evaluation,chest X-ray; examination,C1406937,examination; chest X-ray
NCT04325815,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT05459545,pathologic murmur,Pathologic Murmur,C5238836,Pathologic Murmur
NCT05176899,pathologic murmur,Pathologic Murmur,C5238836,Pathologic Murmur
NCT05064124,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT04441580,rectal neoplasms,Rectal Neoplasms,C0034885,Rectal Neoplasms
NCT05646186,irritable bowel syndrome mixed,irritable bowel syndrome mixed,C4268640,Mixed irritable bowel syndrome
NCT06686251,pneumothorax,pneumothorax,C0032326,Pneumothorax
NCT06647264,pancreatoduodenectomy,Pancreatoduodenectomy,C0085162,Pancreaticoduodenectomy
NCT06341634,healthy,Healthy,C3898900,Healthy
NCT05509049,health behavior,Health behavior,C0018687,Health behavior
NCT05471882,quantitative neuromuscular monitoring,Neuromuscular Monitoring,C3494225,Neuromuscular Monitoring
NCT06534164,long covid19,Long COVID-19,C5433293,post-acute COVID-19 syndrome
NCT05893420,hemodynamic instability,Hemodynamic instability,C0948268,Hemodynamic instability
NCT07163754,sperm selection,sperm isolation,C2018136,sperm isolation
NCT06238180,clinical deterioration,Clinical Deterioration,C4505323,Clinical Deterioration
NCT05056376,overweight,Overweight,C0497406,Overweight
NCT06053515,infant conditions,infant conditions,C3648802,infant conditions
NCT05752045,age-related maculopathy,Age-Related Maculopathy,C0242383,Age related macular degeneration
NCT06785155,eye strain,Eye strain,C0004095,Asthenopia
NCT07277829,feedback,Feedback,C0015744,Feedback - system communication
NCT07253571,im injection,im injection,C0021492,Intramuscular injection
NCT07167043,radiology,Radiology,C0034599,Radiology Specialty
NCT07183202,education nursing,education nursing,C0013636,"Education, Nursing"
NCT07251907,large language model,Large Language Model,C5940609,Large Language Models
NCT06130397,"fractures, closed","Fractures, Closed",C0016659,"Fractures, Closed"
NCT07202286,chatbot,chatbot,C5421286,Chatbot
NCT07061132,nursing education research,Nursing Education Research,C0028685,Nursing Education Research
NCT04466059,blood cancer,Blood Cancer,C0376545,Hematologic Neoplasms
NCT06978283,a single-blind randomized controlled trial,Single-Blind Study,C0242570,Single-Blind Study
NCT07096232,diagnostic accuracy,Diagnostic Accuracy,C0598285,Diagnostic Accuracy
NCT07223736,depression,Depression,C0011570,Mental Depression
NCT06968533,asymptomatic diseases,Asymptomatic Diseases,C2936329,Asymptomatic Diseases
NCT06791109,auscultation for clinical evaluation,Auscultation - examination,C0004339,Auscultation
NCT07312019,prescription,Prescription,C0033080,Prescription (procedure)
NCT06746324,computer-aided detection,computer-aided detection/diagnosis,C0011905,Computer Assisted Diagnosis
NCT05594485,cardiomegaly,Cardiomegaly,C0018800,Cardiomegaly
NCT05115097,"breathing, mouth","Breathing, Mouth",C0026635,Mouth Breathing
NCT07171944,nurse,Nurse,C0028661,Nurses
NCT06909682,congestive heart failure chronic,congestive heart failure chronic,C0264722,Chronic congestive heart failure
NCT06753318,solid pseudopapillary neoplasm of the pancreas,Solid pseudopapillary neoplasm of the pancreas,C1336029,Solid pseudopapillary carcinoma of pancreas
NCT07019688,decision support techniques,Decision Support Techniques,C0011113,Decision Support Techniques
NCT05836246,acute myocardial infarction,Acute myocardial infarction,C0155626,Acute myocardial infarction
NCT06018545,cerebral edema,Cerebral Edema,C0006114,Cerebral Edema
NCT07293078,acute kidney injury,Acute kidney injury,C0022660,"Kidney Failure, Acute"
NCT06027411,midline deviation,Midline deviation,C0399532,Midline deviation of dental arch
NCT04489992,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT07273812,quality of life in cancer patients,Quality of life,C0034380,Quality of life
NCT06638866,mucinous cystic neoplasm,Mucinous cystoma,C0010635,"Cystadenoma, Mucinous"
NCT07318233,motivational enhancement,motivational enhancement therapy,C0683474,Motivational Interviewing
NCT05963945,cardiomegaly,Cardiomegaly,C0018800,Cardiomegaly
NCT06075836,pneumothorax; acute,pneumothorax; acute,C0264556,Acute pneumothorax
NCT05194215,musculoskeletal issues,musculoskeletal problems,C0026859,musculoskeletal problem
NCT07171086,stillbirth and fetal death,Stillbirth and foetal death,C0947987,Stillbirth and foetal death
NCT05364268,covid-19 virus disease,COVID-19 Virus Disease,C5203670,COVID-19 Virus Disease
NCT07153783,cyst,Cyst,C0010709,Cyst
NCT07291960,pathological myopia,Pathological myopia,C0154778,"Myopia, Degenerative"
NCT06682494,"oral cancer , oral squamous cell carcinoma, oral cavity cancer",Oral Squamous Cell Carcinoma,C0585362,Squamous cell carcinoma of mouth
NCT05815017,hospital acquired condition,Hospital Acquired Condition,C0020732,Iatrogenic Disease
NCT05329246,dyspnea,Dyspnea,C0013404,Dyspnea
NCT06699056,conduction defect,conduction defect,C0264886,Conduction disorder of the heart
NCT06791096,auscultation for clinical evaluation,Auscultation - examination,C0004339,Auscultation
NCT06950996,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06792292,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT04440865,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT07318428,glaucoma suspect,Glaucoma suspect,C0017614,"Glaucoma, Suspect"
NCT07158203,colorectal cancer screening,colorectal cancer screening,C0281185,Screening for Colorectal Cancer
NCT05629793,covid-19 recurrent,COVID-19 recurrent,C5442334,COVID-19 recurrent
NCT06699433,respiratory failure (pediatric patients),Respiratory failure (excluding neonatal),C0852895,Respiratory failures (excl neonatal)
NCT06086951,specific learning disorder,Specific learning disorder,C4025790,Specific learning disability
NCT06412900,urolithiasis,Urolithiasis,C0042018,Urinary Calculi
NCT05631015,high grade intraepithelial neoplasia,High Grade Intraepithelial Neoplasia,C1334015,High Grade Intraepithelial Neoplasia
NCT06317181,metastasis to liver,Metastasis to liver,C0494165,Metastatic malignant neoplasm to liver
NCT05987670,congestive heart failure,Congestive heart failure,C0018802,Congestive heart failure
NCT06163781,randomized controlled trial,randomized controlled trial,C0282440,Randomized Controlled Trials as Topic
NCT07018973,nursing,Nursing,C0006147,Breast Feeding
NCT04879563,toxicity,toxicity,C0040539,Toxicity aspects
NCT05810428,radiosurgery,Radiosurgery,C0085203,Radiosurgery
NCT06334796,status epilepticus,status epilepticus,C0038220,Status Epilepticus
NCT06662708,pathology,Pathology,C0030664,Pathology
NCT07317661,cataract surgery,cataract surgery,C0007389,Cataract Extraction
NCT07273513,post cabg,post cardiac surgery,C2062965,post cardiac surgery
NCT04723758,colorectal ssa,Colorectal SSA,C2826783,Colorectal Serrated Lesions and Polyps
NCT05167058,premature ventricular contraction,PREMATURE VENTRICULAR CONTRACTION,C0151636,Premature ventricular contractions
NCT04313946,flu like illness,flu like illness,C0521839,Influenza-like illness
NCT06325514,erythroplakia,Erythroplakia,C0014818,Erythroplasia
NCT03775811,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06615609,post pci,post MI,C0856742,post mi
NCT04620668,stress,stress,C0038435,Stress
NCT04332055,"osteoarthritis, hip","Osteoarthritis, Hip",C0029410,Osteoarthritis of hip
NCT06213896,diabetic macular edema,Diabetic macular edema,C0730285,Macular edema due to diabetes mellitus
NCT04958577,ophthalmology conditions,Ophthalmology,C0029087,Ophthalmology specialty
NCT05681949,metastasis to liver,Metastasis to liver,C0494165,Metastatic malignant neoplasm to liver
NCT05459545,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05064124,polyps of colon,Colon polyps,C0009376,Colonic Polyps
NCT04441580,rectal adenocarcinoma,Rectal adenocarcinoma,C0149978,Adenocarcinoma of rectum
NCT06686251,cardiomegaly,Cardiomegaly,C0018800,Cardiomegaly
NCT05509049,prevention,Prevention,C0199176,Prophylactic treatment
NCT05893420,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT06238180,hemodynamic instability,Hemodynamic instability,C0948268,Hemodynamic instability
NCT05056376,prediabetic state,Prediabetic State,C0362046,Prediabetes syndrome
NCT05752045,glaucoma,Glaucoma,C0017601,Glaucoma
NCT07277829,medical history taking,Medical History Taking,C0025084,Medical History Taking
NCT07253571,osce (objective structured clinical examination),Oscion,C1724194,Oscion
NCT07314853,fluid therapy during surgery,Intraoperative fluid overload,C5546729,Intraoperative fluid overload
NCT06130397,"fractures, open","Fractures, Open",C0016662,"Fractures, Open"
NCT07061132,midwifery education,midwifery services,C0026082,Midwifery
NCT07096232,clinical decision support,Clinical Decision Support,C4042765,Clinical Decision Support
NCT07223736,peritraumatic distress,Post-accident distress,C1321032,Post-accident distress
NCT06968533,cost-benefit analysis,Cost-Benefit Analysis,C0010174,Cost-Benefit Analysis
NCT07312019,transcription,Transcription,C0040649,"Transcription, Genetic"
NCT05594485,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06649500,elderly (people aged 65 or more),Elderly (Over 65),C0001792,Elderly (population group)
NCT07171944,critical care,Critical Care,C0010337,Care of intensive care unit patient
NCT06018545,cerebral injury,cerebral injury,C0270611,Brain Injuries
NCT07293078,delirium confusional state,delirium confusional state,C0009676,Confusion
NCT06027411,"stroke, ischemic","Stroke, ischemic",C0948008,Ischemic stroke
NCT04489992,chest--diseases,Chest--Diseases,C3826591,Chest--Diseases
NCT07273812,accuracy of ai app,accuracy of AOD information in the media,C0814789,accuracy of AOD information in the media
NCT05963945,consolidation,Consolidation,C0521530,Lung consolidation
NCT06075836,atelectasis,Atelectasis,C0004144,Atelectasis
NCT05194215,ent issues,ent problems,C0262471,ENT problem
NCT07171086,pregnancy abnormal,pregnancy abnormal,C0278056,Abnormal pregnancy
NCT05364268,covid-19 virus infection,COVID-19 Virus Infection,C5203670,COVID-19 Virus Disease
NCT07153783,focal nodular hyperplasia,Focal Nodular Hyperplasia,C0333980,Focal Nodular Hyperplasia
NCT07291960,macular hole,Macular Hole,C0024441,Macular Holes
NCT06682494,oropharyngeal cancers,Oropharyngeal Cancers,C2349952,Oropharyngeal Carcinoma
NCT05815017,physical disability,Physical disability,C0520817,Physical disability
NCT05329246,chest pain,Chest Pain,C0008031,Chest Pain
NCT06699056,heart failure,Heart failure,C0018801,Heart failure
NCT07158203,behavior change,Behavior change,C0004941,Behavioral Symptoms
NCT05629793,sars cov 2 infection,SARS CoV 2 Infection,C5203670,COVID-19 Virus Disease
NCT06086951,communication disorders,Communication Disorders,C0009460,Communication impairment
NCT06412900,ureter stone,ureter stone,C0041952,Ureterolithiasis
NCT05631015,early gastric cancer,Early gastric cancer,C0349530,Early gastric cancer
NCT05987670,heart failure with reduced ejection fraction,Heart failure with reduced ejection fraction,C3839346,Heart failure with reduced ejection fraction
NCT07018973,student,student,C0038492,student
NCT05810428,magnetic resonance imaging,Magnetic Resonance Imaging,C0024485,Magnetic Resonance Imaging
NCT06334796,vertigo benign positional,vertigo benign positional,C0155502,Benign Paroxysmal Positional Vertigo
NCT07317661,intraocular lens,intraocular lens,C0023311,Implantation of prosthetic intraocular lens (procedure)
NCT04723758,sessile serrated adenoma,Sessile serrated adenoma,C2732618,Sessile Serrated Adenoma/Polyp
NCT04313946,"pneumonia, interstitial","Pneumonia, Interstitial",C0206061,"Pneumonia, Interstitial"
NCT06325514,"leukoedemas, oral","Leukoedemas, Oral",C0023523,Oral leukoedema
NCT03775811,adenoma colon polyp,adenoma colon polyp,C0742605,colon (non-specific) polyp adenoma
NCT06213896,eye diseases,Eye Diseases,C0015397,Disorder of eye
NCT04958577,orthopedic conditions,Orthopedic Disorders,C0026857,Musculoskeletal Diseases
NCT05681949,gallbladder carcinoma,Gallbladder Carcinoma,C0235782,Gallbladder Carcinoma
NCT06686251,edema lung,EDEMA LUNG,C0034063,Pulmonary Edema
NCT05893420,cardiac arrest,Cardiac Arrest,C0018790,Cardiac Arrest
